window,time,value
2020-01-20 2020-04-19,2020-01-20,0
2020-01-20 2020-04-19,2020-01-21,0
2020-01-20 2020-04-19,2020-01-22,35
2020-01-20 2020-04-19,2020-01-23,35
2020-01-20 2020-04-19,2020-01-24,0
2020-01-20 2020-04-19,2020-01-25,0
2020-01-20 2020-04-19,2020-01-26,40
2020-01-20 2020-04-19,2020-01-27,0
2020-01-20 2020-04-19,2020-01-28,0
2020-01-20 2020-04-19,2020-01-29,0
2020-01-20 2020-04-19,2020-01-30,0
2020-01-20 2020-04-19,2020-01-31,0
2020-01-20 2020-04-19,2020-02-01,0
2020-01-20 2020-04-19,2020-02-02,0
2020-01-20 2020-04-19,2020-02-03,32
2020-01-20 2020-04-19,2020-02-04,100
2020-01-20 2020-04-19,2020-02-05,0
2020-01-20 2020-04-19,2020-02-06,0
2020-01-20 2020-04-19,2020-02-07,37
2020-01-20 2020-04-19,2020-02-08,0
2020-01-20 2020-04-19,2020-02-09,0
2020-01-20 2020-04-19,2020-02-10,0
2020-01-20 2020-04-19,2020-02-11,0
2020-01-20 2020-04-19,2020-02-12,0
2020-01-20 2020-04-19,2020-02-13,0
2020-01-20 2020-04-19,2020-02-14,0
2020-01-20 2020-04-19,2020-02-15,0
2020-01-20 2020-04-19,2020-02-16,0
2020-01-20 2020-04-19,2020-02-17,0
2020-01-20 2020-04-19,2020-02-18,0
2020-01-20 2020-04-19,2020-02-19,0
2020-01-20 2020-04-19,2020-02-20,0
2020-01-20 2020-04-19,2020-02-21,37
2020-01-20 2020-04-19,2020-02-22,0
2020-01-20 2020-04-19,2020-02-23,0
2020-01-20 2020-04-19,2020-02-24,34
2020-01-20 2020-04-19,2020-02-25,0
2020-01-20 2020-04-19,2020-02-26,0
2020-01-20 2020-04-19,2020-02-27,33
2020-01-20 2020-04-19,2020-02-28,34
2020-01-20 2020-04-19,2020-02-29,0
2020-01-20 2020-04-19,2020-03-01,40
2020-01-20 2020-04-19,2020-03-02,0
2020-01-20 2020-04-19,2020-03-03,0
2020-01-20 2020-04-19,2020-03-04,33
2020-01-20 2020-04-19,2020-03-05,0
2020-01-20 2020-04-19,2020-03-06,0
2020-01-20 2020-04-19,2020-03-07,81
2020-01-20 2020-04-19,2020-03-08,0
2020-01-20 2020-04-19,2020-03-09,31
2020-01-20 2020-04-19,2020-03-10,31
2020-01-20 2020-04-19,2020-03-11,65
2020-01-20 2020-04-19,2020-03-12,0
2020-01-20 2020-04-19,2020-03-13,77
2020-01-20 2020-04-19,2020-03-14,78
2020-01-20 2020-04-19,2020-03-15,0
2020-01-20 2020-04-19,2020-03-16,60
2020-01-20 2020-04-19,2020-03-17,64
2020-01-20 2020-04-19,2020-03-18,50
2020-01-20 2020-04-19,2020-03-19,34
2020-01-20 2020-04-19,2020-03-20,0
2020-01-20 2020-04-19,2020-03-21,0
2020-01-20 2020-04-19,2020-03-22,72
2020-01-20 2020-04-19,2020-03-23,44
2020-01-20 2020-04-19,2020-03-24,62
2020-01-20 2020-04-19,2020-03-25,32
2020-01-20 2020-04-19,2020-03-26,32
2020-01-20 2020-04-19,2020-03-27,32
2020-01-20 2020-04-19,2020-03-28,0
2020-01-20 2020-04-19,2020-03-29,0
2020-01-20 2020-04-19,2020-03-30,0
2020-01-20 2020-04-19,2020-03-31,31
2020-01-20 2020-04-19,2020-04-01,64
2020-01-20 2020-04-19,2020-04-02,32
2020-01-20 2020-04-19,2020-04-03,0
2020-01-20 2020-04-19,2020-04-04,41
2020-01-20 2020-04-19,2020-04-05,40
2020-01-20 2020-04-19,2020-04-06,0
2020-01-20 2020-04-19,2020-04-07,33
2020-01-20 2020-04-19,2020-04-08,33
2020-01-20 2020-04-19,2020-04-09,35
2020-01-20 2020-04-19,2020-04-10,39
2020-01-20 2020-04-19,2020-04-11,0
2020-01-20 2020-04-19,2020-04-12,0
2020-01-20 2020-04-19,2020-04-13,0
2020-01-20 2020-04-19,2020-04-14,32
2020-01-20 2020-04-19,2020-04-15,33
2020-01-20 2020-04-19,2020-04-16,0
2020-01-21 2020-04-19,2020-01-21,0
2020-01-21 2020-04-19,2020-01-22,0
2020-01-21 2020-04-19,2020-01-23,35
2020-01-21 2020-04-19,2020-01-24,0
2020-01-21 2020-04-19,2020-01-25,0
2020-01-21 2020-04-19,2020-01-26,0
2020-01-21 2020-04-19,2020-01-27,0
2020-01-21 2020-04-19,2020-01-28,0
2020-01-21 2020-04-19,2020-01-29,0
2020-01-21 2020-04-19,2020-01-30,0
2020-01-21 2020-04-19,2020-01-31,0
2020-01-21 2020-04-19,2020-02-01,0
2020-01-21 2020-04-19,2020-02-02,0
2020-01-21 2020-04-19,2020-02-03,32
2020-01-21 2020-04-19,2020-02-04,0
2020-01-21 2020-04-19,2020-02-05,0
2020-01-21 2020-04-19,2020-02-06,0
2020-01-21 2020-04-19,2020-02-07,74
2020-01-21 2020-04-19,2020-02-08,0
2020-01-21 2020-04-19,2020-02-09,0
2020-01-21 2020-04-19,2020-02-10,0
2020-01-21 2020-04-19,2020-02-11,0
2020-01-21 2020-04-19,2020-02-12,0
2020-01-21 2020-04-19,2020-02-13,0
2020-01-21 2020-04-19,2020-02-14,0
2020-01-21 2020-04-19,2020-02-15,0
2020-01-21 2020-04-19,2020-02-16,0
2020-01-21 2020-04-19,2020-02-17,0
2020-01-21 2020-04-19,2020-02-18,34
2020-01-21 2020-04-19,2020-02-19,34
2020-01-21 2020-04-19,2020-02-20,0
2020-01-21 2020-04-19,2020-02-21,0
2020-01-21 2020-04-19,2020-02-22,0
2020-01-21 2020-04-19,2020-02-23,0
2020-01-21 2020-04-19,2020-02-24,34
2020-01-21 2020-04-19,2020-02-25,0
2020-01-21 2020-04-19,2020-02-26,0
2020-01-21 2020-04-19,2020-02-27,0
2020-01-21 2020-04-19,2020-02-28,0
2020-01-21 2020-04-19,2020-02-29,0
2020-01-21 2020-04-19,2020-03-01,41
2020-01-21 2020-04-19,2020-03-02,0
2020-01-21 2020-04-19,2020-03-03,0
2020-01-21 2020-04-19,2020-03-04,66
2020-01-21 2020-04-19,2020-03-05,0
2020-01-21 2020-04-19,2020-03-06,0
2020-01-21 2020-04-19,2020-03-07,41
2020-01-21 2020-04-19,2020-03-08,0
2020-01-21 2020-04-19,2020-03-09,32
2020-01-21 2020-04-19,2020-03-10,0
2020-01-21 2020-04-19,2020-03-11,100
2020-01-21 2020-04-19,2020-03-12,0
2020-01-21 2020-04-19,2020-03-13,61
