window,time,value
2020-02-11 2020-05-11,2020-04-10,52
2020-02-11 2020-05-11,2020-04-11,0
2020-02-11 2020-05-11,2020-04-12,0
2020-02-11 2020-05-11,2020-04-13,0
2020-02-11 2020-05-11,2020-04-14,42
2020-02-11 2020-05-11,2020-04-15,43
2020-02-11 2020-05-11,2020-04-16,42
2020-02-11 2020-05-11,2020-04-17,89
2020-02-11 2020-05-11,2020-04-18,0
2020-02-11 2020-05-11,2020-04-19,0
2020-02-11 2020-05-11,2020-04-20,0
2020-02-11 2020-05-11,2020-04-21,0
2020-02-11 2020-05-11,2020-04-22,42
2020-02-11 2020-05-11,2020-04-23,43
2020-02-11 2020-05-11,2020-04-24,44
2020-02-11 2020-05-11,2020-04-25,0
2020-02-11 2020-05-11,2020-04-26,0
2020-02-11 2020-05-11,2020-04-27,0
2020-02-11 2020-05-11,2020-04-28,77
2020-02-11 2020-05-11,2020-04-29,40
2020-02-11 2020-05-11,2020-04-30,37
2020-02-11 2020-05-11,2020-05-01,42
2020-02-11 2020-05-11,2020-05-02,0
2020-02-11 2020-05-11,2020-05-03,49
2020-02-11 2020-05-11,2020-05-04,40
2020-02-11 2020-05-11,2020-05-05,0
2020-02-11 2020-05-11,2020-05-06,0
2020-02-11 2020-05-11,2020-05-07,43
2020-02-11 2020-05-11,2020-05-08,0
2020-02-12 2020-05-11,2020-02-12,45
2020-02-12 2020-05-11,2020-02-13,0
2020-02-12 2020-05-11,2020-02-14,0
2020-02-12 2020-05-11,2020-02-15,0
2020-02-12 2020-05-11,2020-02-16,0
2020-02-12 2020-05-11,2020-02-17,0
2020-02-12 2020-05-11,2020-02-18,0
2020-02-12 2020-05-11,2020-02-19,43
2020-02-12 2020-05-11,2020-02-20,0
2020-02-12 2020-05-11,2020-02-21,0
2020-02-12 2020-05-11,2020-02-22,0
2020-02-12 2020-05-11,2020-02-23,0
2020-02-12 2020-05-11,2020-02-24,44
2020-02-12 2020-05-11,2020-02-25,0
2020-02-12 2020-05-11,2020-02-26,0
2020-02-12 2020-05-11,2020-02-27,43
2020-02-12 2020-05-11,2020-02-28,44
2020-02-12 2020-05-11,2020-02-29,53
2020-02-12 2020-05-11,2020-03-01,52
2020-02-12 2020-05-11,2020-03-02,42
2020-02-12 2020-05-11,2020-03-03,0
2020-02-12 2020-05-11,2020-03-04,0
2020-02-12 2020-05-11,2020-03-05,43
2020-02-12 2020-05-11,2020-03-06,0
2020-02-12 2020-05-11,2020-03-07,0
2020-02-12 2020-05-11,2020-03-08,0
2020-02-12 2020-05-11,2020-03-09,41
2020-02-12 2020-05-11,2020-03-10,0
2020-02-12 2020-05-11,2020-03-11,0
2020-02-12 2020-05-11,2020-03-12,0
2020-02-12 2020-05-11,2020-03-13,40
2020-02-12 2020-05-11,2020-03-14,75
2020-02-12 2020-05-11,2020-03-15,100
2020-02-12 2020-05-11,2020-03-16,78
2020-02-12 2020-05-11,2020-03-17,42
2020-02-12 2020-05-11,2020-03-18,43
2020-02-12 2020-05-11,2020-03-19,44
2020-02-12 2020-05-11,2020-03-20,42
2020-02-12 2020-05-11,2020-03-21,50
2020-02-12 2020-05-11,2020-03-22,71
2020-02-12 2020-05-11,2020-03-23,77
2020-02-12 2020-05-11,2020-03-24,40
2020-02-12 2020-05-11,2020-03-25,41
2020-02-12 2020-05-11,2020-03-26,41
2020-02-12 2020-05-11,2020-03-27,0
2020-02-12 2020-05-11,2020-03-28,0
2020-02-12 2020-05-11,2020-03-29,0
2020-02-12 2020-05-11,2020-03-30,0
2020-02-12 2020-05-11,2020-03-31,41
2020-02-12 2020-05-11,2020-04-01,41
2020-02-12 2020-05-11,2020-04-02,0
2020-02-12 2020-05-11,2020-04-03,0
2020-02-12 2020-05-11,2020-04-04,53
2020-02-12 2020-05-11,2020-04-05,52
2020-02-12 2020-05-11,2020-04-06,0
2020-02-12 2020-05-11,2020-04-07,0
2020-02-12 2020-05-11,2020-04-08,0
2020-02-12 2020-05-11,2020-04-09,45
2020-02-12 2020-05-11,2020-04-10,51
2020-02-12 2020-05-11,2020-04-11,0
2020-02-12 2020-05-11,2020-04-12,0
2020-02-12 2020-05-11,2020-04-13,99
2020-02-12 2020-05-11,2020-04-14,0
2020-02-12 2020-05-11,2020-04-15,43
2020-02-12 2020-05-11,2020-04-16,0
2020-02-12 2020-05-11,2020-04-17,44
2020-02-12 2020-05-11,2020-04-18,0
2020-02-12 2020-05-11,2020-04-19,0
2020-02-12 2020-05-11,2020-04-20,40
2020-02-12 2020-05-11,2020-04-21,0
2020-02-12 2020-05-11,2020-04-22,0
2020-02-12 2020-05-11,2020-04-23,42
2020-02-12 2020-05-11,2020-04-24,0
2020-02-12 2020-05-11,2020-04-25,0
2020-02-12 2020-05-11,2020-04-26,0
2020-02-12 2020-05-11,2020-04-27,0
2020-02-12 2020-05-11,2020-04-28,58
2020-02-12 2020-05-11,2020-04-29,0
2020-02-12 2020-05-11,2020-04-30,0
2020-02-12 2020-05-11,2020-05-01,43
2020-02-12 2020-05-11,2020-05-02,47
2020-02-12 2020-05-11,2020-05-03,0
2020-02-12 2020-05-11,2020-05-04,40
2020-02-12 2020-05-11,2020-05-05,37
2020-02-12 2020-05-11,2020-05-06,0
2020-02-12 2020-05-11,2020-05-07,0
2020-02-12 2020-05-11,2020-05-08,45
