window,time,value
2006-01-01 2020-04-12,2009-09-01,40
2006-01-01 2020-04-12,2009-10-01,42
2006-01-01 2020-04-12,2009-11-01,30
2006-01-01 2020-04-12,2009-12-01,65
2006-01-01 2020-04-12,2010-01-01,44
2006-01-01 2020-04-12,2010-02-01,49
2006-01-01 2020-04-12,2010-03-01,30
2006-01-01 2020-04-12,2010-04-01,40
2006-01-01 2020-04-12,2010-05-01,49
2006-01-01 2020-04-12,2010-06-01,39
2006-01-01 2020-04-12,2010-07-01,57
2006-01-01 2020-04-12,2010-08-01,58
2006-01-01 2020-04-12,2010-09-01,49
2006-01-01 2020-04-12,2010-10-01,50
2006-01-01 2020-04-12,2010-11-01,66
2006-01-01 2020-04-12,2010-12-01,99
2006-01-01 2020-04-12,2011-01-01,45
2006-01-01 2020-04-12,2011-02-01,43
2006-01-01 2020-04-12,2011-03-01,49
2006-01-01 2020-04-12,2011-04-01,37
2006-01-01 2020-04-12,2011-05-01,48
2006-01-01 2020-04-12,2011-06-01,50
2006-01-01 2020-04-12,2011-07-01,48
2006-01-01 2020-04-12,2011-08-01,64
2006-01-01 2020-04-12,2011-09-01,64
2006-01-01 2020-04-12,2011-10-01,47
2006-01-01 2020-04-12,2011-11-01,75
2006-01-01 2020-04-12,2011-12-01,85
2006-01-01 2020-04-12,2012-01-01,45
2006-01-01 2020-04-12,2012-02-01,38
2006-01-01 2020-04-12,2012-03-01,52
2006-01-01 2020-04-12,2012-04-01,57
2006-01-01 2020-04-12,2012-05-01,49
2006-01-01 2020-04-12,2012-06-01,43
2006-01-01 2020-04-12,2012-07-01,48
2006-01-01 2020-04-12,2012-08-01,55
2006-01-01 2020-04-12,2012-09-01,47
2006-01-01 2020-04-12,2012-10-01,40
2006-01-01 2020-04-12,2012-11-01,59
2006-01-01 2020-04-12,2012-12-01,79
2006-01-01 2020-04-12,2013-01-01,35
2006-01-01 2020-04-12,2013-02-01,48
2006-01-01 2020-04-12,2013-03-01,40
2006-01-01 2020-04-12,2013-04-01,60
2006-01-01 2020-04-12,2013-05-01,44
2006-01-01 2020-04-12,2013-06-01,42
2006-01-01 2020-04-12,2013-07-01,45
2006-01-01 2020-04-12,2013-08-01,42
2006-01-01 2020-04-12,2013-09-01,41
2006-01-01 2020-04-12,2013-10-01,45
2006-01-01 2020-04-12,2013-11-01,50
2006-01-01 2020-04-12,2013-12-01,92
2006-01-01 2020-04-12,2014-01-01,54
2006-01-01 2020-04-12,2014-02-01,57
2006-01-01 2020-04-12,2014-03-01,52
2006-01-01 2020-04-12,2014-04-01,61
2006-01-01 2020-04-12,2014-05-01,52
2006-01-01 2020-04-12,2014-06-01,48
2006-01-01 2020-04-12,2014-07-01,61
2006-01-01 2020-04-12,2014-08-01,58
2006-01-01 2020-04-12,2014-09-01,57
2006-01-01 2020-04-12,2014-10-01,48
2006-01-01 2020-04-12,2014-11-01,66
2006-01-01 2020-04-12,2014-12-01,85
2006-01-01 2020-04-12,2015-01-01,52
2006-01-01 2020-04-12,2015-02-01,64
2006-01-01 2020-04-12,2015-03-01,47
2006-01-01 2020-04-12,2015-04-01,52
2006-01-01 2020-04-12,2015-05-01,47
2006-01-01 2020-04-12,2015-06-01,54
2006-01-01 2020-04-12,2015-07-01,61
2006-01-01 2020-04-12,2015-08-01,60
2006-01-01 2020-04-12,2015-09-01,55
2006-01-01 2020-04-12,2015-10-01,52
2006-01-01 2020-04-12,2015-11-01,59
2006-01-01 2020-04-12,2015-12-01,90
2006-01-01 2020-04-12,2016-01-01,46
2006-01-01 2020-04-12,2016-02-01,55
2006-01-01 2020-04-12,2016-03-01,56
2006-01-01 2020-04-12,2016-04-01,53
2006-01-01 2020-04-12,2016-05-01,49
2006-01-01 2020-04-12,2016-06-01,49
2006-01-01 2020-04-12,2016-07-01,38
2006-01-01 2020-04-12,2016-08-01,50
2006-01-01 2020-04-12,2016-09-01,44
2006-01-01 2020-04-12,2016-10-01,45
2006-01-01 2020-04-12,2016-11-01,60
2006-01-01 2020-04-12,2016-12-01,69
2006-01-01 2020-04-12,2017-01-01,47
2006-01-01 2020-04-12,2017-02-01,54
2006-01-01 2020-04-12,2017-03-01,46
2006-01-01 2020-04-12,2017-04-01,51
2006-01-01 2020-04-12,2017-05-01,47
2006-01-01 2020-04-12,2017-06-01,46
2006-01-01 2020-04-12,2017-07-01,61
2006-01-01 2020-04-12,2017-08-01,54
2006-01-01 2020-04-12,2017-09-01,40
2006-01-01 2020-04-12,2017-10-01,52
2006-01-01 2020-04-12,2017-11-01,65
2006-01-01 2020-04-12,2017-12-01,100
2006-01-01 2020-04-12,2018-01-01,58
2006-01-01 2020-04-12,2018-02-01,49
2006-01-01 2020-04-12,2018-03-01,45
2006-01-01 2020-04-12,2018-04-01,54
2006-01-01 2020-04-12,2018-05-01,50
2006-01-01 2020-04-12,2018-06-01,44
2006-01-01 2020-04-12,2018-07-01,53
2006-01-01 2020-04-12,2018-08-01,46
2006-01-01 2020-04-12,2018-09-01,45
2006-01-01 2020-04-12,2018-10-01,53
2006-01-01 2020-04-12,2018-11-01,64
2006-01-01 2020-04-12,2018-12-01,89
2006-01-01 2020-04-12,2019-01-01,50
2006-01-01 2020-04-12,2019-02-01,52
2006-01-01 2020-04-12,2019-03-01,49
2006-01-01 2020-04-12,2019-04-01,45
2006-01-01 2020-04-12,2019-05-01,51
2006-01-01 2020-04-12,2019-06-01,46
2006-01-01 2020-04-12,2019-07-01,47
2006-01-01 2020-04-12,2019-08-01,49
2006-01-01 2020-04-12,2019-09-01,41
2006-01-01 2020-04-12,2019-10-01,35
2006-01-01 2020-04-12,2019-11-01,73
2006-01-01 2020-04-12,2019-12-01,83
2006-01-01 2020-04-12,2020-01-01,46
2006-01-01 2020-04-12,2020-02-01,54
2006-01-01 2020-04-12,2020-03-01,29
2006-01-01 2020-04-12,2020-04-01,31
2006-02-01 2020-04-12,2006-02-01,49
2006-02-01 2020-04-12,2006-03-01,42
2006-02-01 2020-04-12,2006-04-01,36
2006-02-01 2020-04-12,2006-05-01,26
2006-02-01 2020-04-12,2006-06-01,23
2006-02-01 2020-04-12,2006-07-01,23
2006-02-01 2020-04-12,2006-08-01,44
2006-02-01 2020-04-12,2006-09-01,15
2006-02-01 2020-04-12,2006-10-01,28
2006-02-01 2020-04-12,2006-11-01,13
2006-02-01 2020-04-12,2006-12-01,37
2006-02-01 2020-04-12,2007-01-01,42
2006-02-01 2020-04-12,2007-02-01,21
2006-02-01 2020-04-12,2007-03-01,44
2006-02-01 2020-04-12,2007-04-01,49
2006-02-01 2020-04-12,2007-05-01,35
2006-02-01 2020-04-12,2007-06-01,29
2006-02-01 2020-04-12,2007-07-01,15
2006-02-01 2020-04-12,2007-08-01,21
2006-02-01 2020-04-12,2007-09-01,24
2006-02-01 2020-04-12,2007-10-01,28
2006-02-01 2020-04-12,2007-11-01,67
2006-02-01 2020-04-12,2007-12-01,33
2006-02-01 2020-04-12,2008-01-01,63
2006-02-01 2020-04-12,2008-02-01,42
2006-02-01 2020-04-12,2008-03-01,34
2006-02-01 2020-04-12,2008-04-01,22
2006-02-01 2020-04-12,2008-05-01,48
2006-02-01 2020-04-12,2008-06-01,39
2006-02-01 2020-04-12,2008-07-01,46
2006-02-01 2020-04-12,2008-08-01,30
2006-02-01 2020-04-12,2008-09-01,27
2006-02-01 2020-04-12,2008-10-01,20
2006-02-01 2020-04-12,2008-11-01,34
2006-02-01 2020-04-12,2008-12-01,25
2006-02-01 2020-04-12,2009-01-01,27
2006-02-01 2020-04-12,2009-02-01,18
2006-02-01 2020-04-12,2009-03-01,35
2006-02-01 2020-04-12,2009-04-01,49
2006-02-01 2020-04-12,2009-05-01,47
2006-02-01 2020-04-12,2009-06-01,17
2006-02-01 2020-04-12,2009-07-01,57
2006-02-01 2020-04-12,2009-08-01,45
2006-02-01 2020-04-12,2009-09-01,49
2006-02-01 2020-04-12,2009-10-01,52
2006-02-01 2020-04-12,2009-11-01,26
2006-02-01 2020-04-12,2009-12-01,64
2006-02-01 2020-04-12,2010-01-01,46
2006-02-01 2020-04-12,2010-02-01,53
2006-02-01 2020-04-12,2010-03-01,32
2006-02-01 2020-04-12,2010-04-01,35
2006-02-01 2020-04-12,2010-05-01,26
2006-02-01 2020-04-12,2010-06-01,36
2006-02-01 2020-04-12,2010-07-01,55
2006-02-01 2020-04-12,2010-08-01,47
2006-02-01 2020-04-12,2010-09-01,55
2006-02-01 2020-04-12,2010-10-01,47
2006-02-01 2020-04-12,2010-11-01,53
2006-02-01 2020-04-12,2010-12-01,92
2006-02-01 2020-04-12,2011-01-01,36
2006-02-01 2020-04-12,2011-02-01,56
2006-02-01 2020-04-12,2011-03-01,37
2006-02-01 2020-04-12,2011-04-01,67
2006-02-01 2020-04-12,2011-05-01,43
2006-02-01 2020-04-12,2011-06-01,40
2006-02-01 2020-04-12,2011-07-01,57
2006-02-01 2020-04-12,2011-08-01,60
2006-02-01 2020-04-12,2011-09-01,56
2006-02-01 2020-04-12,2011-10-01,45
2006-02-01 2020-04-12,2011-11-01,57
2006-02-01 2020-04-12,2011-12-01,69
2006-02-01 2020-04-12,2012-01-01,52
2006-02-01 2020-04-12,2012-02-01,55
2006-02-01 2020-04-12,2012-03-01,29
2006-02-01 2020-04-12,2012-04-01,45
2006-02-01 2020-04-12,2012-05-01,48
2006-02-01 2020-04-12,2012-06-01,36
2006-02-01 2020-04-12,2012-07-01,40
2006-02-01 2020-04-12,2012-08-01,41
2006-02-01 2020-04-12,2012-09-01,49
2006-02-01 2020-04-12,2012-10-01,41
2006-02-01 2020-04-12,2012-11-01,51
2006-02-01 2020-04-12,2012-12-01,74
2006-02-01 2020-04-12,2013-01-01,30
2006-02-01 2020-04-12,2013-02-01,30
2006-02-01 2020-04-12,2013-03-01,44
2006-02-01 2020-04-12,2013-04-01,40
2006-02-01 2020-04-12,2013-05-01,36
2006-02-01 2020-04-12,2013-06-01,40
2006-02-01 2020-04-12,2013-07-01,28
2006-02-01 2020-04-12,2013-08-01,35
2006-02-01 2020-04-12,2013-09-01,44
2006-02-01 2020-04-12,2013-10-01,44
2006-02-01 2020-04-12,2013-11-01,56
2006-02-01 2020-04-12,2013-12-01,78
2006-02-01 2020-04-12,2014-01-01,57
2006-02-01 2020-04-12,2014-02-01,58
2006-02-01 2020-04-12,2014-03-01,55
2006-02-01 2020-04-12,2014-04-01,58
2006-02-01 2020-04-12,2014-05-01,41
2006-02-01 2020-04-12,2014-06-01,42
2006-02-01 2020-04-12,2014-07-01,39
2006-02-01 2020-04-12,2014-08-01,44
2006-02-01 2020-04-12,2014-09-01,43
2006-02-01 2020-04-12,2014-10-01,42
2006-02-01 2020-04-12,2014-11-01,58
2006-02-01 2020-04-12,2014-12-01,83
2006-02-01 2020-04-12,2015-01-01,54
2006-02-01 2020-04-12,2015-02-01,46
2006-02-01 2020-04-12,2015-03-01,55
2006-02-01 2020-04-12,2015-04-01,49
2006-02-01 2020-04-12,2015-05-01,43
2006-02-01 2020-04-12,2015-06-01,40
2006-02-01 2020-04-12,2015-07-01,58
2006-02-01 2020-04-12,2015-08-01,45
2006-02-01 2020-04-12,2015-09-01,46
2006-02-01 2020-04-12,2015-10-01,39
2006-02-01 2020-04-12,2015-11-01,53
2006-02-01 2020-04-12,2015-12-01,74
2006-02-01 2020-04-12,2016-01-01,44
2006-02-01 2020-04-12,2016-02-01,41
2006-02-01 2020-04-12,2016-03-01,50
2006-02-01 2020-04-12,2016-04-01,44
2006-02-01 2020-04-12,2016-05-01,54
2006-02-01 2020-04-12,2016-06-01,33
2006-02-01 2020-04-12,2016-07-01,42
2006-02-01 2020-04-12,2016-08-01,42
2006-02-01 2020-04-12,2016-09-01,35
2006-02-01 2020-04-12,2016-10-01,41
2006-02-01 2020-04-12,2016-11-01,53
2006-02-01 2020-04-12,2016-12-01,85
2006-02-01 2020-04-12,2017-01-01,42
2006-02-01 2020-04-12,2017-02-01,56
2006-02-01 2020-04-12,2017-03-01,30
2006-02-01 2020-04-12,2017-04-01,52
2006-02-01 2020-04-12,2017-05-01,40
2006-02-01 2020-04-12,2017-06-01,48
2006-02-01 2020-04-12,2017-07-01,49
2006-02-01 2020-04-12,2017-08-01,54
2006-02-01 2020-04-12,2017-09-01,40
2006-02-01 2020-04-12,2017-10-01,45
2006-02-01 2020-04-12,2017-11-01,58
2006-02-01 2020-04-12,2017-12-01,100
2006-02-01 2020-04-12,2018-01-01,51
2006-02-01 2020-04-12,2018-02-01,55
2006-02-01 2020-04-12,2018-03-01,43
2006-02-01 2020-04-12,2018-04-01,36
2006-02-01 2020-04-12,2018-05-01,36
2006-02-01 2020-04-12,2018-06-01,45
2006-02-01 2020-04-12,2018-07-01,45
2006-02-01 2020-04-12,2018-08-01,43
2006-02-01 2020-04-12,2018-09-01,44
2006-02-01 2020-04-12,2018-10-01,42
2006-02-01 2020-04-12,2018-11-01,45
2006-02-01 2020-04-12,2018-12-01,71
2006-02-01 2020-04-12,2019-01-01,49
2006-02-01 2020-04-12,2019-02-01,49
2006-02-01 2020-04-12,2019-03-01,30
2006-02-01 2020-04-12,2019-04-01,50
2006-02-01 2020-04-12,2019-05-01,43
2006-02-01 2020-04-12,2019-06-01,39
2006-02-01 2020-04-12,2019-07-01,52
2006-02-01 2020-04-12,2019-08-01,38
2006-02-01 2020-04-12,2019-09-01,43
2006-02-01 2020-04-12,2019-10-01,30
2006-02-01 2020-04-12,2019-11-01,60
2006-02-01 2020-04-12,2019-12-01,60
2006-02-01 2020-04-12,2020-01-01,32
2006-02-01 2020-04-12,2020-02-01,47
2006-02-01 2020-04-12,2020-03-01,24
2006-02-01 2020-04-12,2020-04-01,31
